building_id,address,num_violations
81746,"1930 GRAND CONCOURSE, BRONX NY 10457",29
109459,"1510 SHERIDAN AVENUE, BRONX NY 10457",29
60123,"2197 CRUGER AVENUE, BRONX NY 10462",29
50369,"1133 BOSTON ROAD, BRONX NY 10456",29
81730,"1820 GRAND CONCOURSE, BRONX NY 10457",29
81891,"2874 GRAND CONCOURSE, BRONX NY 10458",29
118980,"3209 WALLACE AVENUE, BRONX NY 10467",29
119128,"2160 WALTON AVENUE, BRONX NY 10453",29
41975,"475 WEST 145 STREET, MANHATTAN NY 10031",29
43338,"604 WEST 178 STREET, MANHATTAN NY 10033",29
347221,"1439 OCEAN AVENUE, BROOKLYN NY 11230",28
327596,"93 LINDEN BOULEVARD, BROOKLYN NY 11226",28
116949,"2348 DR M L KING JR BOULEVARD, BRONX NY 10468",28
929105,"3333B BROADWAY, MANHATTAN NY 10031",28
287504,"1074 EASTERN PARKWAY, BROOKLYN NY 11213",28
112001,"85 STRONG STREET, BRONX NY 10468",28
79270,"1229 FRANKLIN AVENUE, BRONX NY 10456",28
22529,"61 HAMILTON PLACE, MANHATTAN NY 10031",28
119033,"1177 WALTON AVENUE, BRONX NY 10452",28
346993,"860 NOSTRAND AVENUE, BROOKLYN NY 11225",28
116869,"1910 DR M L KING JR BOULEVARD, BRONX NY 10453",28
221431,"60 CLARKSON AVENUE, BROOKLYN NY 11226",28
43791,"130 WEST 228 STREET, MANHATTAN NY 10463",27
113364,"1580 THIERIOT AVENUE, BRONX NY 10460",27
65392,"306 EAST 171 STREET, BRONX NY 10457",27
66245,"612 EAST 180 STREET, BRONX NY 10457",27
347775,"700 OCEAN AVENUE, BROOKLYN NY 11226",27
64591,"351 EAST 163 STREET, BRONX NY 10451",27
362833,"119 ROCKAWAY PARKWAY, BROOKLYN NY 11212",27
77585,"805 FAIRMOUNT PLACE, BRONX NY 10460",27
27943,"1238 ST NICHOLAS AVENUE, MANHATTAN NY 10032",27
66764,"751 EAST 187 STREET, BRONX NY 10458",27
119113,"2069 WALTON AVENUE, BRONX NY 10453",27
73393,"735 EAST 242 STREET, BRONX NY 10470",27
19867,"316 EAST 117 STREET, MANHATTAN NY 10035",26
22520,"35 HAMILTON PLACE, MANHATTAN NY 10031",26
25929,"192 NAGLE AVENUE, MANHATTAN NY 10034",26
374997,"780 ST MARKS AVENUE, BROOKLYN NY 11213",26
242782,"2077 EAST 12 STREET, BROOKLYN NY 11229",26
97431,"1870 MORRIS AVENUE, BRONX NY 10453",26
96836,"1482 MONTGOMERY AVENUE, BRONX NY 10453",26
371971,"202 SOUTH 2 STREET, BROOKLYN NY 11211",25
59142,"1995 CRESTON AVENUE, BRONX NY 10453",25
347778,"726 OCEAN AVENUE, BROOKLYN NY 11226",25
59245,"2608 CRESTON AVENUE, BRONX NY 10468",25
112750,"1081 TELLER AVENUE, BRONX NY 10456",25
241982,"788 EAST 10 STREET, BROOKLYN NY 11230",25
103016,"1840 PHELAN PLACE, BRONX NY 10453",25
115529,"1660 TOPPING AVENUE, BRONX NY 10457",25
80082,"1183 GERARD AVENUE, BRONX NY 10452",25
347340,"1928 OCEAN AVENUE, BROOKLYN NY 11230",25
347202,"1299 OCEAN AVENUE, BROOKLYN NY 11230",25
24824,"2082 MADISON AVENUE, MANHATTAN NY 10037",25
264177,"64 EAST 43 STREET, BROOKLYN NY 11203",25
231781,"1362 DECATUR STREET, BROOKLYN NY 11237",24
129026,"4112 4 AVENUE, BROOKLYN NY 11232",24
78263,"1064 FINDLAY AVENUE, BRONX NY 10456",24
39554,"543 WEST 125 STREET, MANHATTAN NY 10027",24
120366,"2454 WEBB AVENUE, BRONX NY 10468",24
120834,"1824 WEEKS AVENUE, BRONX NY 10457",24
72228,"686 EAST 234 STREET, BRONX NY 10466",24
347795,"810 OCEAN AVENUE, BROOKLYN NY 11226",24
311307,"136 HERKIMER STREET, BROOKLYN NY 11216",24
81982,"750 GRAND CONCOURSE, BRONX NY 10451",24
81701,"1466 GRAND CONCOURSE, BRONX NY 10457",24
56827,"1190 CLAY AVENUE, BRONX NY 10456",24
60275,"3230 CRUGER AVENUE, BRONX NY 10467",24
117109,"2544 VALENTINE AVENUE, BRONX NY 10458",24
81456,"2015 GRAND AVENUE, BRONX NY 10453",24
76121,"41 ELLIOT PLACE, BRONX NY 10452",24
193428,"357 AVENUE P, BROOKLYN NY 11204",23
808271,"697 EVERGREEN AVENUE, BROOKLYN NY 11207",23
